age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,poutcome,cons.price.idx,cons.conf.idx,euribor3m,pdays_c,previous_c
0.14706007111099312,0,1,3,0,0,0,1,6,3,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-0.5906549360353062,2,1,5,0,2,0,0,1,4,0.4123752404497191,1,-0.2191511858946218,0.9904820270553677,0.7161305886822061,2,2
1.8332658017311056,5,2,2,1,1,1,0,3,0,-0.18055111484089736,1,0.6288732197210387,-0.5052406376043933,0.714920374521991,2,2
-0.06371564521652097,3,1,3,0,2,0,1,6,0,-0.18055111484089736,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-0.16910350338027802,7,2,3,0,0,0,1,3,0,-0.18055111484089736,1,0.6288732197210387,-0.5052406376043933,0.7124999462015599,2,2
-0.16910350338027802,9,1,5,1,0,0,0,7,4,-0.7734774701315138,1,-0.6556869558739874,-0.3466033852919938,0.20481510599121525,2,2
1.3063265109123205,1,1,0,1,2,2,1,6,4,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.651989238190792,2,2
-0.5906549360353062,9,0,5,0,0,0,0,3,3,1.598227951030952,1,0.6288732197210387,-0.5052406376043933,0.7137101603617757,2,2
1.4117143690760776,11,2,7,0,2,0,0,3,2,-0.7734774701315138,1,0.6288732197210387,-0.5052406376043933,0.714315267441883,2,2
-0.3798792197077921,1,1,1,1,0,0,1,4,1,1.598227951030952,1,1.6075005401255957,-0.3012784560598792,0.6556198806714382,2,2
-0.4852670778715491,1,1,2,0,0,2,1,4,0,-0.7734774701315138,1,1.6075005401255957,-0.3012784560598792,0.7173408028424214,2,2
-0.06371564521652097,1,1,2,0,2,0,0,0,4,-0.7734774701315138,0,-0.8793220839371872,-1.5023890807109,-1.4138463332968334,2,0
-0.16910350338027802,1,1,1,1,0,2,1,4,4,-0.7734774701315138,1,1.6075005401255957,-0.3012784560598792,0.714315267441883,2,2
1.0955507945848064,1,1,1,1,2,2,1,4,4,-0.7734774701315138,1,1.6075005401255957,-0.3012784560598792,0.7124999462015599,2,2
-0.4852670778715491,1,1,7,0,0,0,1,6,4,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
0.9901629364210495,1,1,2,0,2,0,1,6,4,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-0.8014306523628203,9,2,5,0,0,0,0,3,3,1.0053015957403357,1,0.6288732197210387,-0.5052406376043933,0.7137101603617757,2,2
-0.6960427941990632,3,1,0,0,0,0,1,6,3,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6501739169504689,2,2
-1.3283699431816054,0,2,3,0,2,0,0,3,2,-0.7734774701315138,1,0.6288732197210387,-0.5052406376043933,0.714920374521991,2,2
0.5686115037660213,10,1,3,1,0,0,1,6,1,-0.18055111484089736,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-1.2229820850178483,9,2,2,0,2,0,0,6,3,-0.7734774701315138,1,-1.20493483039721,-1.2984268991663876,-1.5070328236334165,2,2
0.8847750782572924,10,0,5,0,2,0,1,7,0,1.0053015957403357,1,-0.6556869558739874,-0.3466033852919938,0.14490950506055464,2,2
-0.3798792197077921,0,1,6,0,0,2,1,6,0,0.4123752404497191,1,-1.20493483039721,-1.2984268991663876,-1.4937204678710476,2,2
-1.1175942268540913,1,1,1,0,0,0,1,4,1,0.4123752404497191,1,1.6075005401255957,-0.3012784560598792,0.705238661240268,2,2
-1.3283699431816054,1,1,2,0,0,2,1,6,2,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6495688098703615,2,2
-0.4852670778715491,0,2,6,0,2,0,1,4,1,-0.18055111484089736,1,1.6075005401255957,-0.3012784560598792,0.6556198806714382,2,2
-1.1175942268540913,1,1,1,0,0,0,0,6,2,2.784080661612185,1,-1.20493483039721,-1.2984268991663876,-1.5221605006361085,2,2
-0.27449136154403503,0,0,3,0,2,0,0,3,4,-0.7734774701315138,1,0.6288732197210387,-0.5052406376043933,0.714920374521991,2,2
-0.16910350338027802,4,1,6,0,0,0,1,6,0,-0.18055111484089736,1,0.7648433775834523,0.9224946332071974,0.651989238190792,2,2
0.14706007111099312,9,0,5,0,2,0,0,0,2,-0.18055111484089736,1,-0.8793220839371872,-1.5023890807109,-1.4622548997054479,2,2
0.041672212947236074,1,1,7,0,0,0,1,6,3,-0.18055111484089736,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-0.3798792197077921,7,1,5,0,2,2,0,1,3,0.4123752404497191,1,-0.2191511858946218,0.9904820270553677,0.716735695762314,2,2
0.7793872200935353,0,2,6,0,2,0,0,1,3,-0.7734774701315138,0,-2.442978899355097,2.0556178640100464,-1.768439082239935,2,0
-1.5391456595091195,0,2,3,0,0,0,1,4,1,-0.18055111484089736,1,1.6075005401255957,-0.3012784560598792,0.6556198806714382,2,2
0.5686115037660213,1,1,2,1,2,0,0,0,0,-0.18055111484089736,1,-0.8793220839371872,-1.5023890807109,-1.3932726925731722,2,2
-0.4852670778715491,0,2,6,0,0,0,1,6,1,-0.18055111484089736,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
-1.6445335176728766,1,2,2,0,0,0,0,3,2,0.4123752404497191,1,0.6288732197210387,-0.5052406376043933,0.7118948391214526,2,2
0.6739993619297783,4,1,6,0,2,0,0,6,2,-0.18055111484089736,1,-1.20493483039721,-1.2984268991663876,-1.48524896874954,2,2
1.5171022272398347,4,0,6,0,0,0,1,6,4,-0.7734774701315138,1,-1.20493483039721,-1.2984268991663876,-1.4810132191887861,2,2
0.5686115037660213,1,1,1,1,0,0,1,6,4,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6507790240305767,2,2
1.5171022272398347,9,0,3,0,0,0,0,1,1,1.0053015957403357,1,-0.2191511858946218,0.9904820270553677,0.7191561240827445,2,2
0.6739993619297783,0,2,6,0,0,0,0,3,0,3.969933372193418,1,0.6288732197210387,-0.5052406376043933,0.7112897320413447,2,2
-1.1175942268540913,7,0,3,0,2,0,0,3,4,-0.7734774701315138,1,0.6288732197210387,-0.5052406376043933,0.714315267441883,2,2
-0.4852670778715491,4,0,6,0,0,0,0,3,0,1.0053015957403357,1,0.6288732197210387,-0.5052406376043933,0.714315267441883,2,2
-0.3798792197077921,0,1,2,0,0,0,1,6,0,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.651989238190792,2,2
-0.3798792197077921,7,1,3,1,0,0,1,4,1,-0.18055111484089736,1,1.6075005401255957,-0.3012784560598792,0.6556198806714382,2,2
-1.5391456595091195,10,2,3,1,0,0,1,4,0,3.969933372193418,1,1.6075005401255957,-0.3012784560598792,0.7124999462015599,2,2
1.3063265109123205,7,1,3,1,2,0,0,1,1,-0.7734774701315138,1,-0.2191511858946218,0.9904820270553677,0.7161305886822061,2,2
1.3063265109123205,7,1,6,0,0,0,1,4,1,-0.7734774701315138,1,1.6075005401255957,-0.3012784560598792,0.7131050532816678,2,2
-0.06371564521652097,2,1,6,0,0,0,0,7,2,-0.7734774701315138,1,-0.6556869558739874,-0.3466033852919938,0.17819039446647694,2,2
-0.3798792197077921,4,1,6,0,0,0,1,6,4,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.651989238190792,2,2
1.6224900854035917,3,1,0,1,0,0,1,7,0,-0.7734774701315138,1,-0.6556869558739874,-0.3466033852919938,0.14490950506055464,2,2
-1.2229820850178483,1,2,0,1,2,0,1,3,3,0.4123752404497191,1,0.6288732197210387,-0.5052406376043933,0.7137101603617757,2,2
-0.3798792197077921,3,2,6,0,1,1,0,1,0,-0.18055111484089736,2,-2.442978899355097,2.0556178640100464,-1.789012722963596,4,0
2.360205092549891,1,1,0,0,2,0,0,7,1,-0.7734774701315138,2,-1.6414706003765758,2.3502299040187866,-1.8531540734550105,1,0
0.041672212947236074,9,1,5,0,2,0,1,6,4,0.4123752404497191,1,0.7648433775834523,0.9224946332071974,0.6501739169504689,2,2
1.7278779435673488,7,1,0,1,2,2,1,6,0,-0.7734774701315138,1,0.7648433775834523,0.9224946332071974,0.6495688098703615,2,2
